                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.6831,                0.88817,                 1.1604,                0.87751,                0.83981,                0.89892,                0.47773,                 1.5949,                 0.7927,                 1.1497,              0.0098878,              0.0098878,              0.0098878
                     36,                 1.6983,                0.90075,                 1.1843,                0.89238,                0.83897,                0.90455,                0.47497,                   1.59,                 0.8142,                 1.1529,              0.0098845,              0.0098845,              0.0098845
                     37,                 1.6833,                0.88522,                 1.1756,                0.89102,                0.84876,                0.89891,                0.47105,                    1.6,                0.81602,                 1.1561,              0.0098812,              0.0098812,              0.0098812
                     38,                 1.6835,                0.88162,                 1.1632,                0.89134,                0.83932,                0.89942,                0.47417,                 1.5896,                0.83113,                 1.1536,              0.0098779,              0.0098779,              0.0098779
                     39,                 1.6805,                0.88184,                 1.1719,                0.90077,                0.83422,                0.89861,                0.47779,                  1.607,                0.77109,                 1.1513,              0.0098746,              0.0098746,              0.0098746
                     40,                 1.6545,                0.86569,                 1.1604,                0.90458,                0.84811,                0.91048,                0.48097,                 1.5828,                0.78011,                 1.1569,              0.0098713,              0.0098713,              0.0098713
                     41,                 1.6577,                0.85657,                 1.1606,                 0.8902,                0.84428,                0.90171,                0.47401,                 1.5876,                0.79815,                 1.1469,               0.009868,               0.009868,               0.009868
                     42,                 1.6708,                0.86226,                 1.1606,                0.89245,                0.84596,                0.90355,                0.47964,                 1.5912,                0.78731,                 1.1435,              0.0098647,              0.0098647,              0.0098647
                     43,                 1.6566,                0.85531,                  1.152,                0.88945,                0.86078,                0.91819,                0.48444,                 1.5645,                0.77626,                 1.1412,              0.0098614,              0.0098614,              0.0098614
                     44,                 1.6546,                0.85034,                 1.1547,                0.90225,                0.86413,                0.91882,                0.48782,                 1.5697,                0.75591,                 1.1396,              0.0098581,              0.0098581,              0.0098581
